Numéro,Libellé,Description,Position,Favori
3230,Assurance RC et choses,,Charge,
3280,Frais de location de salles,,Charge,Favori
33,Administration et informatique,,Charge,
330,Administration,,Charge,
3300,Fournitures de bureau,,Charge,Favori
3301,Télécommunications,,Charge,Favori
3302,Frais de port,,Charge,Favori
3303,Documents et abonnements,,Charge,
3304,Frais de cotisations,,Charge,
3306,Frais de réunion,,Charge,
335,Informatique,,Charge,
3350,Frais de licence,Par exemple pour décompter la contribution à un logiciel comptable ;-),Charge,Favori
3351,Frais de maintenance,,Charge,
3352,Petit matériel informatique,,Charge,Favori
34,Frais de promotion et de représentation,,Charge,
340,Matériel de promotion,,Charge,
3400,Impression de matériel de promotion,,Charge,
3401,Conception de matériel de promotion,,Charge,
3409,Autre matériel de promotion,,Charge,
341,Site internet et communication en ligne,,Charge,
3410,"Frais de maintenance de site internet, plateforme web, outils de communication en ligne",,Charge,
3411,"Conception de site internet, plateforme web, outils de communication en ligne",,Charge,
3419,Autres frais liés à la communication en ligne,,Charge,
346,Frais de représentation,,Charge,
3460,Frais de voyage,,Charge,
3461,Frais de repas,,Charge,Favori
3469,Autres frais de représentation,,Charge,
35,Mises à disposition gratuites (contrepartie : subventions non monétaires en 45),,Charge,
36,Autres charges d’exploitation,,Charge,
360,Amortissements et dépréciations d’actifs,,Charge,
3600,Amortissements,,Charge,
3601,Dépréciations d’actifs,,Charge,
361,Charges sur débiteurs douteux,,Charge,
3610,Variation provision sur débiteurs douteux,,Charge,
3620,Pertes sur débiteurs douteux,,Charge,
369,Autres charges d’exploitation,,Charge,
3690,Autres charges d’exploitation,,Charge,
37,"Charges hors exploitation, exceptionnelles, uniques ou hors périodes",,Charge,
370,Charges hors exploitation,,Charge,
3700,Charges hors exploitation,,Charge,
371,Charges exceptionnelles ou uniques,,Charge,
3710,Charges exceptionnelles ou uniques,,Charge,
372,Charges hors périodes,,Charge,
3720,Charges liées aux exercices précédents,,Charge,
38,Charges financières,,Charge,
3800,Charges d'intérêts,,Charge,
3810,Frais bancaires,,Charge,Favori
3820,Pertes de change,,Charge,
39,Variation des fonds affectés (Swiss GAAP RPC),,Charge,
3900,Attribution aux fonds affectés,,Charge,
3910,Produits internes de fonds affectés,,Produit,
4,Revenus,,Produit,
40,Revenus de ventes et de prestations,,Produit,
4000,Revenu de prestations,,Produit,Favori
4010,Revenu de ventes,,Produit,Favori
41,Revenus des fonds affectés,,Produit,
410,Subventions,,Produit,Favori
4130,Donateurs privés – fonds affectés,,Produit,
42,Dons non affectés,,Produit,
4220,Donateurs privés – non affectés,,Produit,
43,Cotisations de membres,,Produit,
4400,Cotisations de membres,,Produit,Favori
45,Subventions non monétaires (contrepartie : mises à disposition gratuites en 35),,Produit,
46,Autres produits d’exploitation,,Produit,
4600,Dissolutions de provisions,,Produit,
47,"Produits hors exploitation,  exceptionnels, uniques ou hors périodes ",,Produit,
470,Produits hors exploitation,,Produit,
4700,Produits hors exploitation,,Produit,
471,Produits exceptionnels ou uniques,,Produit,
4710,Produits exceptionnels ou uniques,,Produit,
472,Produits hors période,,Produit,
4720,Produits liés aux exercices précédents,,Produit,
48,Revenus financiers,,Produit,
4800,Revenus d'intérêts,,Produit,
4820,Gains de change,,Produit,
49,Variation des fonds affectés (Swiss GAAP RPC),,Produit,
4900,Utilisation des fonds affectés,,Produit,
4910,Charges internes de fonds affectés,,Charge,
5,Comptes de tiers,,Actif ou passif,
9,Bilan,,,
9100,Bilan d'ouverture,,,
9101,Bilan de clôture,,,
